strain	strain_set
AB1	swept
BRC20067	swept
BRC20263	swept
CB4851	swept
CB4852	swept
CB4853	swept
CB4854	swept
CB4855	swept
CB4856	divergent
CB4857	swept
CB4858	swept
CB4932	swept
CX11254	swept
CX11262	swept
CX11264	swept
CX11271	swept
CX11276	swept
CX11285	swept
CX11292	swept
CX11307	swept
CX11314	swept
CX11315	swept
DL200	swept
DL226	swept
DL238	divergent
ECA189	divergent
ECA191	divergent
ECA347	divergent
ECA348	swept
ECA349	swept
ECA36	divergent
ECA363	divergent
ECA369	divergent
ECA372	divergent
ECA396	divergent
ECA592	swept
ECA593	divergent
ECA594	swept
ECA640	swept
ECA703	divergent
ECA705	divergent
ECA706	divergent
ECA710	divergent
ECA712	divergent
ECA722	divergent
ECA723	divergent
ECA724	divergent
ECA730	divergent
ECA732	divergent
ECA733	divergent
ECA738	divergent
ECA740	divergent
ECA741	divergent
ECA742	divergent
ECA743	divergent
ECA744	divergent
ECA745	divergent
ECA746	divergent
ECA760	divergent
ECA768	divergent
ECA777	divergent
ECA778	divergent
ECA807	divergent
ECA812	divergent
ECA923	swept
ECA928	swept
ECA930	swept
ED3005	swept
ED3011	swept
ED3012	swept
ED3017	swept
ED3040	swept
ED3046	swept
ED3048	swept
ED3049	swept
ED3052	swept
ED3073	swept
ED3077	swept
EG4347	swept
EG4349	swept
EG4724	swept
EG4725	swept
EG4946	swept
GXW1	swept
JT11398	swept
JU1088	swept
JU1172	swept
JU1200	swept
JU1212	swept
JU1213	swept
JU1242	swept
JU1246	swept
JU1249	swept
JU1395	swept
JU1400	swept
JU1409	swept
JU1440	swept
JU1491	swept
JU1530	swept
JU1543	swept
JU1568	swept
JU1581	swept
JU1586	swept
JU1652	swept
JU1666	swept
JU1792	swept
JU1793	swept
JU1808	swept
JU1896	swept
JU1934	swept
JU2001	swept
JU2007	swept
JU2016	swept
JU2017	swept
JU2106	swept
JU2131	swept
JU2141	swept
JU2234	swept
JU2250	swept
JU2257	swept
JU2316	divergent
JU2464	swept
JU2466	swept
JU2478	swept
JU2513	swept
JU2519	swept
JU2522	swept
JU2526	divergent
JU2534	swept
JU2565	swept
JU2566	swept
JU2570	swept
JU2572	swept
JU2575	swept
JU2576	swept
JU2578	swept
JU258	swept
JU2581	swept
JU2586	swept
JU2587	swept
JU2592	swept
JU2593	swept
JU2600	swept
JU2610	swept
JU2619	swept
JU2800	swept
JU2811	swept
JU2825	swept
JU2829	swept
JU2838	swept
JU2841	swept
JU2853	swept
JU2862	swept
JU2866	swept
JU2878	swept
JU2879	swept
JU2906	swept
JU2907	swept
JU310	swept
JU311	swept
JU3125	swept
JU3127	swept
JU3128	swept
JU3132	swept
JU3134	swept
JU3135	swept
JU3137	swept
JU3140	swept
JU3141	swept
JU3144	swept
JU3166	swept
JU3167	divergent
JU3169	swept
JU3224	swept
JU3225	swept
JU3226	divergent
JU3228	swept
JU323	swept
JU3280	swept
JU3282	swept
JU3291	swept
JU346	swept
JU360	swept
JU367	swept
JU393	swept
JU394	swept
JU397	swept
JU406	swept
JU440	swept
JU561	swept
JU642	swept
JU751	swept
JU774	swept
JU775	swept
JU778	swept
JU782	swept
JU792	swept
JU830	swept
JU847	swept
KR314	swept
LKC34	swept
MY1	swept
MY10	swept
MY16	divergent
MY18	swept
MY2147	swept
MY2212	swept
MY23	divergent
MY2453	swept
MY2530	swept
MY2535	swept
MY2573	swept
MY2585	swept
MY2693	swept
MY2713	swept
MY2741	swept
MY518	swept
MY679	swept
MY772	swept
MY795	swept
MY920	swept
N2	swept
NIC1	swept
NIC1049	swept
NIC1107	swept
NIC1119	swept
NIC166	swept
NIC195	swept
NIC199	swept
NIC2	swept
NIC207	swept
NIC231	swept
NIC236	swept
NIC242	swept
NIC251	divergent
NIC252	swept
NIC255	swept
NIC256	swept
NIC258	swept
NIC259	swept
NIC260	swept
NIC261	swept
NIC262	swept
NIC265	divergent
NIC266	swept
NIC267	swept
NIC268	divergent
NIC269	swept
NIC271	swept
NIC272	swept
NIC274	swept
NIC275	swept
NIC276	swept
NIC277	swept
NIC3	swept
NIC501	swept
NIC511	swept
NIC513	swept
NIC514	swept
NIC515	swept
NIC522	swept
NIC523	swept
NIC526	swept
NIC527	swept
NIC528	swept
NIC529	swept
PB303	swept
PB306	swept
PS2025	swept
PX179	swept
QG2075	swept
QG2811	swept
QG2813	swept
QG2818	swept
QG2823	swept
QG2824	swept
QG2825	swept
QG2827	swept
QG2828	swept
QG2832	swept
QG2835	swept
QG2836	swept
QG2837	swept
QG2838	swept
QG2841	swept
QG2843	swept
QG2846	swept
QG2850	swept
QG2854	swept
QG2855	swept
QG2857	swept
QG2873	swept
QG2874	swept
QG2875	swept
QG2877	swept
QG2932	swept
QG536	swept
QG556	swept
QG557	swept
QW947	swept
QX1211	divergent
QX1212	swept
QX1233	swept
QX1791	divergent
QX1792	swept
QX1793	divergent
QX1794	divergent
RC301	swept
WN2001	swept
WN2002	swept
WN2033	swept
WN2050	swept
WN2063	swept
WN2064	swept
WN2066	swept
XZ1513	divergent
XZ1514	divergent
XZ1515	swept
XZ1516	ancestor
XZ1672	swept
XZ1734	swept
XZ1735	swept
XZ1756	swept
XZ2018	swept
XZ2019	divergent
XZ2020	swept
