isotype	I	II	III	IV	V	X	I_hapshare	II_hapshare	III_hapshare	IV_hapshare	V_hapshare	X_hapshare	swept_chroms
AB1	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.6923288331278132	0.23403204114346815	0.0806034893732855	0.6453515427548637	0.8440036694959787	0.7616957615386908	4
BRC20067	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.2472339730784087	0.9001086299237242	0.35482279832569474	0.9027901685218249	0.9875437895032291	0.9814624321485882	4
BRC20263	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.35009769397098117	0.1811393092677963	0.1435022413593577	0.7885414742379738	0.44864556746598483	0.6741080096046264	4
CB4851	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0.6297281691804724	0.1309096136492912	0.07024650949857454	0.00161793424049915	0.6521791544031184	0.23088708920039408	3
CB4852	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.8194983759704688	0.39024043326358304	0.32463741217794334	0.9678646208369274	0.990113640275294	0.5896503851874193	4
CB4853	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.7817952727267901	0.02766375205619042	0.21656735395864313	0.6756387467165443	0.9911532024199802	0.5099260486209378	4
CB4854	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.5749886842241493	0.1746841874915803	0.009609860088810089	0.7447542517343587	0.9724805614685109	0.6346908657618908	4
CB4855	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.46325392601009063	0.500675424000418	0.0744525063994649	0.34449905510645734	0.6710206826793483	0.4810259864924782	4
CB4856	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	7.978476912196461e-5	5.658303101234422e-4	0	0
CB4857	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.3201334531500333	0.13924197609086122	0.18586826382171603	0.6259693462560968	0.9911431404328436	0.12767641141321476	4
CB4858	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	0.5331519712015164	0.0016581467890707188	0.21656735395864313	0.6259693462560968	0.9966745854665909	0.5144942513114252	4
